Month,Year,PRODUCTS,"Quantity (000 Metric Tonnes)",updated_date
February,2023,"Lubricants & Greases",333.17,2023-12-20
January,2022,"Lubricants & Greases",309.91,2023-12-20
November,2021,"Lubricants & Greases",353.57,2023-12-20
May,2021,"Lubricants & Greases",318.26,2023-12-20
April,2021,"Lubricants & Greases",355.46,2023-12-20
March,2021,"Lubricants & Greases",398.00,2023-12-20
July,2023,MS,2983.66,2023-12-20
May,2023,MS,3349.63,2023-12-20
January,2023,MS,2827.48,2023-12-20
May,2022,MS,3016.92,2023-12-20
September,2021,MS,2597.94,2023-12-20
July,2021,MS,2630.35,2023-12-20
April,2023,Naphtha,1112.61,2023-12-20
March,2023,Naphtha,1128.64,2023-12-20
November,2022,Naphtha,931.29,2023-12-20
October,2021,Naphtha,1179.90,2023-12-20
September,2021,Naphtha,1016.12,2023-12-20
April,2020,Naphtha,730.00,2023-12-20
February,2023,Others,1354.23,2023-12-20
January,2023,Others,1127.12,2023-12-20
September,2022,Others,1064.97,2023-12-20
February,2022,Others,992.16,2023-12-20
January,2022,Others,1016.71,2023-12-20
August,2023,ATF,676.75,2023-12-20
May,2023,ATF,670.58,2023-12-20
July,2022,ATF,578.59,2023-12-20
May,2022,ATF,595.73,2023-12-20
April,2022,ATF,552.72,2023-12-20
May,2021,ATF,267.67,2023-12-20
December,2020,ATF,427.00,2023-12-20
July,2020,ATF,233.00,2023-12-20
April,2023,Bitumen,877.78,2023-12-20
February,2023,Bitumen,874.03,2023-12-20
July,2022,Bitumen,340.91,2023-12-20
March,2022,Bitumen,943.28,2023-12-20
August,2021,Bitumen,311.69,2023-12-20
June,2021,Bitumen,569.97,2023-12-20
May,2021,Bitumen,653.27,2023-12-20
February,2021,Bitumen,853.00,2023-12-20
January,2021,Bitumen,821.00,2023-12-20
August,2020,Bitumen,270.00,2023-12-20
July,2020,Bitumen,414.00,2023-12-20
August,2023,"FO & LSHS",509.73,2023-12-20
July,2023,"FO & LSHS",562.25,2023-12-20
April,2023,"FO & LSHS",585.15,2023-12-20
November,2021,"FO & LSHS",500.29,2023-12-20
February,2021,"FO & LSHS",476.00,2023-12-20
August,2023,HSD,6670.06,2023-12-20
July,2023,HSD,6885.46,2023-12-20
June,2023,HSD,7905.78,2023-12-20
April,2022,HSD,7199.20,2023-12-20
February,2022,HSD,6510.92,2023-12-20
August,2021,HSD,5602.95,2023-12-20
April,2021,HSD,6675.63,2023-12-20
February,2021,HSD,6569.00,2023-12-20
January,2021,HSD,6806.00,2023-12-20
August,2020,HSD,4843.00,2023-12-20
May,2020,HSD,5494.00,2023-12-20
December,2022,LDO,65.14,2023-12-20
October,2022,LDO,66.19,2023-12-20
June,2022,LDO,57.36,2023-12-20
October,2021,LDO,89.56,2023-12-20
July,2021,LDO,76.99,2023-12-20
June,2021,LDO,94.21,2023-12-20
December,2020,LDO,88.00,2023-12-20
November,2020,LDO,69.00,2023-12-20
April,2020,LDO,28.00,2023-12-20
June,2023,LPG,2232.86,2023-12-20
January,2023,LPG,2506.88,2023-12-20
November,2022,LPG,2461.31,2023-12-20
May,2022,LPG,2158.68,2023-12-20
April,2022,LPG,2157.46,2023-12-20
December,2021,LPG,2469.33,2023-12-20
October,2020,LPG,2421.00,2023-12-20
June,2021,Others,866.10,2023-12-20
December,2020,Others,1009.00,2023-12-20
March,2023,"Petroleum coke",1960.17,2023-12-20
November,2022,"Petroleum coke",1514.64,2023-12-20
July,2022,"Petroleum coke",1668.61,2023-12-20
June,2022,"Petroleum coke",1297.11,2023-12-20
April,2022,"Petroleum coke",1726.36,2023-12-20
December,2021,"Petroleum coke",1682.81,2023-12-20
November,2021,"Petroleum coke",926.12,2023-12-20
February,2021,"Petroleum coke",794.00,2023-12-20
August,2023,SKO,52.00,2023-12-20
July,2023,SKO,49.87,2023-12-20
December,2022,SKO,39.73,2023-12-20
October,2022,SKO,33.56,2023-12-20
July,2022,SKO,23.24,2023-12-20
September,2021,SKO,131.71,2023-12-20
June,2020,SKO,161.00,2023-12-20
June,2023,ATF,642.33,2023-12-20
March,2023,ATF,688.48,2023-12-20
December,2022,ATF,659.00,2023-12-20
December,2021,ATF,552.04,2023-12-20
November,2021,ATF,503.86,2023-12-20
March,2021,ATF,474.00,2023-12-20
February,2021,ATF,432.00,2023-12-20
January,2021,ATF,441.00,2023-12-20
July,2023,Bitumen,513.63,2023-12-20
