Month,Year,"Company Name","Quantity (000 Metric Tonnes)",last_updated
April,2023,ONGC,1.51,NA
April,2023,"JVC/ Private",0.49,NA
April,2023,Condensate,0.12,NA
May,2023,"Total crude oil",2.34,NA
May,2023,Condensate,0.16,NA
June,2023,"PSU total (Crude Oil)",1.77,NA
April,2022,"Total crude oil",2.36,NA
May,2022,"Total ( Crude oil + Condensate)",2.55,NA
June,2022,"JVC/ Private",0.53,NA
June,2022,"Total ( Crude oil + Condensate)",2.44,NA
July,2022,"JVC/ Private",0.53,NA
July,2022,Condensate,0.11,NA
August,2022,ONGC,1.54,NA
August,2022,"PSU total (Crude Oil)",1.81,NA
August,2022,"JVC/ Private",0.52,NA
September,2022,ONGC,1.51,NA
September,2022,"Total ( Crude oil + Condensate)",2.39,NA
October,2022,ONGC,1.55,NA
October,2022,OIL,0.27,NA
October,2022,"PSU total (Crude Oil)",1.82,NA
November,2022,"Total ( Crude oil + Condensate)",2.41,NA
December,2022,OIL,0.27,NA
December,2022,"Total crude oil",2.36,NA
January,2023,"Total crude oil",2.35,NA
February,2023,Condensate,0.11,NA
April,2023,"PSU total (Crude Oil)",1.78,NA
May,2023,"PSU total (Crude Oil)",1.84,NA
May,2023,"JVC/ Private",0.50,NA
June,2023,ONGC,1.50,NA
July,2023,OIL,0.28,NA
July,2023,"PSU total (Crude Oil)",1.81,NA
July,2023,"JVC/ Private",0.50,NA
July,2023,"Total ( Crude oil + Condensate)",2.50,NA
April,2022,OIL,0.25,NA
April,2022,"PSU total (Crude Oil)",1.82,NA
April,2022,"JVC/ Private",0.55,NA
May,2022,Condensate,0.10,NA
June,2022,OIL,0.26,NA
June,2022,Condensate,0.10,NA
July,2022,ONGC,1.56,NA
July,2022,"Total crude oil",2.35,NA
September,2022,OIL,0.26,NA
November,2022,OIL,0.26,NA
November,2022,"JVC/ Private",0.52,NA
November,2022,"Total crude oil",2.29,NA
December,2022,"JVC/ Private",0.53,NA
December,2022,"Total ( Crude oil + Condensate)",2.48,NA
January,2023,"JVC/ Private",0.51,NA
January,2023,Condensate,0.13,NA
February,2023,"PSU total (Crude Oil)",1.61,NA
February,2023,"Total ( Crude oil + Condensate)",2.16,NA
March,2023,"JVC/ Private",0.49,NA
April,2023,OIL,0.27,NA
April,2023,"Total ( Crude oil + Condensate)",2.38,NA
May,2023,"Total ( Crude oil + Condensate)",2.50,NA
June,2023,OIL,0.27,NA
June,2023,Condensate,0.17,NA
June,2023,"Total ( Crude oil + Condensate)",2.43,NA
July,2023,"Total crude oil",2.31,NA
April,2022,Condensate,0.11,NA
May,2022,"Total crude oil",2.45,NA
December,2022,"PSU total (Crude Oil)",1.83,NA
January,2023,ONGC,1.57,NA
January,2023,OIL,0.27,NA
January,2023,"PSU total (Crude Oil)",1.84,NA
January,2023,"Total ( Crude oil + Condensate)",2.49,NA
February,2023,OIL,0.25,NA
March,2023,ONGC,1.57,NA
March,2023,"Total crude oil",2.34,NA
April,2023,"Total crude oil",2.26,NA
May,2023,OIL,0.28,NA
May,2022,OIL,0.27,NA
May,2022,"JVC/ Private",0.57,NA
June,2022,ONGC,1.55,NA
June,2022,"PSU total (Crude Oil)",1.80,NA
August,2022,OIL,0.26,NA
August,2022,Condensate,0.11,NA
September,2022,"JVC/ Private",0.50,NA
October,2022,Condensate,0.11,NA
October,2022,"Total ( Crude oil + Condensate)",2.46,NA
November,2022,Condensate,0.12,NA
March,2023,OIL,0.28,NA
March,2023,"Total ( Crude oil + Condensate)",2.45,NA
May,2022,ONGC,1.61,NA
May,2022,"PSU total (Crude Oil)",1.87,NA
July,2022,OIL,0.26,NA
July,2022,"Total ( Crude oil + Condensate)",2.45,NA
August,2022,"Total ( Crude oil + Condensate)",2.44,NA
September,2022,"PSU total (Crude Oil)",1.77,NA
September,2022,Condensate,0.12,NA
October,2022,"Total crude oil",2.34,NA
November,2022,ONGC,1.51,NA
November,2022,"PSU total (Crude Oil)",1.77,NA
December,2022,Condensate,0.12,NA
February,2023,"JVC/ Private",0.45,NA
May,2023,ONGC,1.56,NA
June,2023,"JVC/ Private",0.48,NA
June,2023,"Total crude oil",2.25,NA
July,2023,ONGC,1.53,NA
July,2023,Condensate,0.19,NA
