Month,State,Coal_Quantity_MTon,Coal_Value_Lac,Petroleum_Quantity_MTon,Petroleum_Value_Lac,NaturalGas_Quantity_MTon,NaturalGas_Value_Lac
2020-01-31,Andhra Pradesh,1.93,28.36,4.86,180.42,3.95,119.0
2020-01-31,Arunachal Pradesh,0.31,4.98,11.58,520.8,13.01,425.89
2020-01-31,Assam,2.07,31.2,4.36,197.84,6.59,197.04
2020-01-31,Bihar,3.09,45.22,1.31,56.38,5.63,183.39
2020-01-31,Chhattisgarh,2.56,34.54,5.16,237.05,6.35,221.08
2020-01-31,Goa,0.34,5.22,4.35,182.8,14.9,599.29
2020-01-31,Gujarat,6.22,90.49,1.33,53.5,6.36,261.31
2020-01-31,Haryana,2.4,33.69,2.35,108.81,8.13,321.53
2020-01-31,Himachal Pradesh,6.72,107.41,14.21,662.39,8.19,285.53
2020-01-31,Jharkhand,3.9,67.87,12.79,661.7,11.4,345.84
2020-01-31,Karnataka,4.34,75.69,9.08,537.35,8.65,297.43
2020-01-31,Kerala,3.48,63.58,2.52,150.27,7.9,233.44
2020-01-31,Madhya Pradesh,4.28,77.35,5.37,311.61,4.42,109.34
2020-01-31,Maharashtra,1.71,34.02,6.08,396.45,3.96,107.0
2020-01-31,Manipur,5.87,127.04,2.98,215.11,1.7,51.17
2020-01-31,Meghalaya,2.21,52.0,4.11,301.39,9.17,313.71
2020-01-31,Mizoram,6.84,167.43,8.76,679.26,11.9,391.52
2020-01-31,Nagaland,0.83,21.85,10.75,909.43,3.58,109.55
2020-01-31,Odisha,0.59,16.04,14.46,1277.83,10.42,274.46
2020-01-31,Punjab,0.87,25.31,8.2,698.3,14.39,348.78
2020-01-31,Rajasthan,1.01,29.94,9.11,817.76,10.06,303.45
2020-01-31,Sikkim,5.12,159.35,12.74,1229.48,5.68,183.0
2020-01-31,Tamil Nadu,0.74,24.24,12.47,1207.27,14.13,422.59
2020-01-31,Telangana,1.15,37.06,5.98,589.9,12.61,443.97
2020-01-31,Tripura,3.61,122.64,7.69,784.49,3.48,140.21
2020-01-31,Uttar Pradesh,4.21,149.76,13.29,1451.0,2.53,98.38
2020-01-31,Uttarakhand,4.82,176.5,10.74,1173.93,14.75,603.3
2020-01-31,West Bengal,3.91,145.55,14.79,1723.61,13.49,544.83
2020-02-29,Andhra Pradesh,5.44,201.17,8.62,1061.82,9.07,361.48
2020-02-29,Arunachal Pradesh,1.91,69.63,13.72,1640.73,8.8,336.53
2020-02-29,Assam,2.94,108.88,6.42,750.56,3.54,148.8
2020-02-29,Bihar,2.43,92.65,9.52,1119.61,12.95,542.6
2020-02-29,Chhattisgarh,2.93,112.86,7.31,834.98,5.86,221.51
2020-02-29,Goa,0.55,21.19,6.84,788.52,14.87,643.93
2020-02-29,Gujarat,1.79,66.93,4.86,544.79,13.81,656.8
2020-02-29,Haryana,6.21,230.16,1.94,211.76,11.43,521.42
2020-02-29,Himachal Pradesh,2.83,101.51,13.47,1566.59,6.69,317.6
2020-02-29,Jharkhand,3.11,108.11,9.6,1078.18,6.01,269.92
2020-02-29,Karnataka,6.5,232.74,1.34,159.98,12.2,595.32
2020-02-29,Kerala,5.57,193.65,14.53,1761.09,5.47,295.6
2020-02-29,Madhya Pradesh,5.04,177.23,12.04,1508.0,10.04,514.71
2020-02-29,Maharashtra,1.0,36.32,11.31,1460.82,2.32,126.88
2020-02-29,Manipur,6.43,229.25,13.13,1755.84,9.29,520.72
2020-02-29,Meghalaya,6.45,230.59,3.18,448.55,1.88,110.59
2020-02-29,Mizoram,6.11,215.93,10.31,1476.3,10.95,660.44
2020-02-29,Nagaland,6.38,233.91,14.72,2168.0,8.52,557.81
2020-02-29,Odisha,2.54,94.02,9.85,1461.96,1.29,84.4
2020-02-29,Punjab,4.28,165.74,8.72,1290.76,3.34,211.31
2020-02-29,Rajasthan,6.79,261.43,10.24,1586.02,1.06,65.1
2020-02-29,Sikkim,4.88,190.36,2.4,365.28,4.73,316.44
2020-02-29,Tamil Nadu,2.7,105.25,8.43,1311.01,7.05,478.13
2020-02-29,Telangana,2.1,82.9,13.44,2076.96,3.37,248.72
2020-02-29,Tripura,3.57,141.84,7.49,1134.89,14.0,990.26
2020-02-29,Uttar Pradesh,1.74,68.64,6.68,1023.82,4.04,307.63
2020-02-29,Uttarakhand,3.5,140.51,10.92,1643.4,10.92,875.54
2020-02-29,West Bengal,1.36,54.52,10.7,1589.0,8.49,653.96
2020-03-31,Andhra Pradesh,1.38,56.32,4.85,737.96,9.35,706.93
2020-03-31,Arunachal Pradesh,6.86,275.58,2.23,353.83,4.87,399.05
2020-03-31,Assam,1.14,45.34,6.16,971.56,10.23,829.97
2020-03-31,Bihar,6.62,259.31,14.31,2318.79,13.68,1152.93
2020-03-31,Chhattisgarh,3.56,136.07,6.66,1059.31,13.82,1185.28
2020-03-31,Goa,1.03,38.67,6.55,1048.64,3.34,298.34
2020-03-31,Gujarat,3.61,138.31,5.71,932.06,3.76,358.56
2020-03-31,Haryana,6.1,227.63,5.18,830.17,14.35,1345.14
2020-03-31,Himachal Pradesh,1.38,53.03,2.88,478.6,12.52,1127.83
2020-03-31,Jharkhand,2.37,95.3,1.06,177.54,13.21,1209.66
2020-03-31,Karnataka,5.87,242.62,11.87,1998.07,9.38,818.04
2020-03-31,Kerala,5.38,221.4,6.93,1191.77,3.5,316.3
2020-03-31,Madhya Pradesh,3.3,137.63,6.28,1108.19,10.7,990.19
2020-03-31,Maharashtra,4.47,194.36,4.71,817.99,12.74,1129.09
2020-03-31,Manipur,5.71,247.93,5.09,889.81,8.62,750.48
2020-03-31,Meghalaya,1.82,80.61,1.5,261.1,1.38,126.51
2020-03-31,Mizoram,3.13,143.43,4.15,730.13,7.13,694.41
2020-03-31,Nagaland,6.82,308.42,13.02,2380.34,10.26,1004.75
2020-03-31,Odisha,0.46,20.34,3.89,729.47,8.07,779.29
2020-03-31,Punjab,2.68,122.53,8.51,1630.68,12.49,1208.02
2020-03-31,Rajasthan,5.53,252.46,12.31,2318.22,13.76,1397.28
2020-03-31,Sikkim,3.45,156.4,3.75,721.23,2.16,214.27
2020-03-31,Tamil Nadu,1.79,83.38,6.84,1336.12,10.51,1057.63
2020-03-31,Telangana,0.67,32.19,8.03,1588.25,13.96,1375.64
2020-03-31,Tripura,5.0,239.57,5.57,1105.24,4.94,498.6
2020-03-31,Uttar Pradesh,2.65,131.29,3.87,778.43,3.69,391.27
2020-03-31,Uttarakhand,6.16,314.86,2.78,569.45,3.17,353.55
2020-03-31,West Bengal,5.46,284.88,10.45,2144.88,3.99,431.77
2020-04-30,Andhra Pradesh,1.17,61.35,13.32,2818.64,7.01,777.35
2020-04-30,Arunachal Pradesh,2.35,124.98,13.3,2886.16,3.47,385.99
2020-04-30,Assam,4.96,267.06,0.7,152.22,1.16,123.64
2020-04-30,Bihar,1.77,98.14,2.57,572.68,12.64,1382.77
2020-04-30,Chhattisgarh,1.39,79.83,4.78,1051.8,3.03,330.4
2020-04-30,Goa,4.38,254.12,3.51,771.14,7.13,800.57
2020-04-30,Gujarat,3.96,229.21,2.29,512.73,9.79,1084.02
2020-04-30,Haryana,0.8,47.18,2.57,576.65,5.67,645.42
2020-04-30,Himachal Pradesh,6.94,406.48,7.57,1757.73,8.26,922.3
2020-04-30,Jharkhand,3.77,223.5,4.3,1007.29,9.17,1068.84
2020-04-30,Karnataka,1.76,105.43,14.76,3419.67,7.95,897.31
2020-04-30,Kerala,2.49,151.85,9.57,2186.55,1.09,126.89
2020-04-30,Madhya Pradesh,0.49,29.63,14.74,3377.38,13.75,1566.62
2020-04-30,Maharashtra,0.84,52.45,13.33,3072.31,4.54,520.06
2020-04-30,Manipur,6.12,392.39,8.49,1977.1,7.28,848.82
2020-04-30,Meghalaya,4.7,307.57,6.79,1589.89,4.61,557.42
2020-04-30,Mizoram,2.19,143.75,5.24,1220.07,8.69,1076.54
2020-04-30,Nagaland,3.57,236.54,14.83,3452.23,2.79,333.19
2020-04-30,Odisha,0.6,40.6,12.93,3103.96,4.41,511.71
2020-04-30,Punjab,0.54,36.2,7.53,1835.65,10.83,1313.16
2020-04-30,Rajasthan,0.48,32.17,1.41,341.43,4.38,550.29
2020-04-30,Sikkim,5.76,390.69,2.71,670.26,2.4,305.62
2020-04-30,Tamil Nadu,1.75,120.49,10.94,2681.0,14.39,1783.77
2020-04-30,Telangana,1.98,135.32,7.8,1941.92,4.52,543.91
2020-04-30,Tripura,4.93,336.04,0.57,144.13,14.3,1796.95
2020-04-30,Uttar Pradesh,3.06,207.85,0.89,226.58,2.27,292.35
2020-04-30,Uttarakhand,3.66,250.62,10.44,2687.97,8.4,1066.29
2020-04-30,West Bengal,6.74,462.06,5.4,1423.54,2.48,327.85
2020-05-31,Andhra Pradesh,6.38,443.01,13.33,3537.17,6.8,885.59
2020-05-31,Arunachal Pradesh,6.98,485.29,13.64,3640.93,12.64,1635.63
2020-05-31,Assam,0.51,36.18,5.26,1416.82,11.13,1500.88
2020-05-31,Bihar,6.27,444.23,3.34,895.9,12.95,1714.13
2020-05-31,Chhattisgarh,1.3,93.74,6.92,1865.74,1.76,229.77
2020-05-31,Goa,1.64,120.43,7.93,2146.93,11.42,1481.11
2020-05-31,Gujarat,6.86,502.8,1.54,426.5,10.34,1312.88
2020-05-31,Haryana,1.03,74.47,13.52,3817.25,13.89,1827.53
2020-05-31,Himachal Pradesh,4.71,345.93,11.76,3396.18,6.64,907.85
2020-05-31,Jharkhand,5.07,376.87,9.06,2675.33,6.01,803.99
2020-05-31,Karnataka,1.78,131.9,5.22,1560.58,5.93,768.45
2020-05-31,Kerala,1.59,120.43,8.63,2643.48,5.72,732.45
2020-05-31,Madhya Pradesh,1.79,133.86,6.78,2115.11,12.89,1706.29
2020-05-31,Maharashtra,6.54,491.56,5.84,1811.17,13.42,1855.51
2020-05-31,Manipur,5.44,413.66,3.53,1103.58,9.48,1298.28
2020-05-31,Meghalaya,5.38,417.59,1.22,384.1,12.15,1664.63
2020-05-31,Mizoram,6.7,526.12,8.11,2572.73,13.69,1958.4
2020-05-31,Nagaland,5.64,446.91,10.18,3225.91,10.75,1553.76
2020-05-31,Odisha,3.5,279.88,13.19,4182.61,10.21,1494.45
2020-05-31,Punjab,1.77,141.27,8.05,2585.8,10.23,1520.85
2020-05-31,Rajasthan,4.11,327.78,12.79,4192.95,3.56,529.03
2020-05-31,Sikkim,0.47,37.0,9.11,2981.71,14.82,2278.09
2020-05-31,Tamil Nadu,4.12,323.81,11.19,3720.84,1.82,286.73
2020-05-31,Telangana,6.6,510.94,14.7,4982.51,12.66,2052.08
2020-05-31,Tripura,3.42,269.14,14.95,5180.73,3.89,640.64
2020-05-31,Uttar Pradesh,0.73,56.67,1.35,465.33,3.41,560.88
2020-05-31,Uttarakhand,5.42,414.5,14.24,4931.97,4.99,807.23
2020-05-31,West Bengal,3.58,276.85,9.07,3203.05,6.72,1125.57
2020-06-30,Andhra Pradesh,4.56,361.42,12.22,4276.8,13.2,2245.23
2020-06-30,Arunachal Pradesh,0.44,34.78,7.92,2828.07,7.04,1184.9
