Month,State,Coal_Production_TWh,Coal_Consumption_TWh,Petroleum_Production_TWh,Petroleum_Consumption_TWh,NaturalGas_Production_TWh,NaturalGas_Consumption_TWh
2020-01-31,Andhra Pradesh,3.01,3.62,4.28,3.18,8.93,12.54
2020-01-31,Arunachal Pradesh,4.09,3.04,1.26,3.52,3.62,7.69
2020-01-31,Assam,3.73,8.85,3.5,2.4,9.54,11.23
2020-01-31,Bihar,5.01,7.0,3.45,4.52,14.64,7.77
2020-01-31,Chhattisgarh,2.52,5.22,1.52,0.94,12.06,4.81
2020-01-31,Goa,7.47,8.33,4.82,3.11,4.58,4.64
2020-01-31,Gujarat,7.78,2.03,2.1,0.95,7.7,9.55
2020-01-31,Haryana,5.9,2.91,2.6,1.75,14.68,14.84
2020-01-31,Himachal Pradesh,1.14,7.39,0.63,2.53,13.96,3.58
2020-01-31,Jharkhand,4.8,1.88,2.05,1.53,10.38,6.8
2020-01-31,Karnataka,4.03,8.49,2.51,2.86,13.08,13.66
2020-01-31,Kerala,1.7,8.06,4.11,3.17,7.83,3.72
2020-01-31,Madhya Pradesh,9.92,1.8,0.66,4.12,8.9,2.16
2020-01-31,Maharashtra,3.24,6.51,1.89,3.05,11.54,11.71
2020-01-31,Manipur,2.23,6.6,3.37,4.17,6.8,7.43
2020-01-31,Meghalaya,1.95,1.05,4.77,3.2,8.37,10.99
2020-01-31,Mizoram,4.82,7.17,2.61,3.35,5.92,14.29
2020-01-31,Nagaland,2.41,3.07,2.43,3.61,3.67,11.04
2020-01-31,Odisha,6.92,3.16,0.83,3.06,4.59,13.43
2020-01-31,Punjab,5.22,9.4,2.07,1.86,5.99,2.11
2020-01-31,Rajasthan,8.56,2.81,2.27,1.61,14.78,13.82
2020-01-31,Sikkim,3.01,6.61,2.44,2.52,2.32,6.99
2020-01-31,Tamil Nadu,9.77,8.61,1.42,3.29,7.82,4.66
2020-01-31,Telangana,9.57,1.65,2.38,3.21,13.44,12.54
2020-01-31,Tripura,6.13,3.49,1.85,2.02,5.93,12.61
2020-01-31,Uttar Pradesh,2.51,8.35,2.02,1.42,14.29,4.54
2020-01-31,Uttarakhand,6.63,5.68,0.89,3.56,7.4,3.32
2020-01-31,West Bengal,1.95,2.89,3.33,2.82,11.74,9.74
2020-02-29,Andhra Pradesh,1.19,2.49,4.34,2.68,6.1,3.68
2020-02-29,Arunachal Pradesh,4.74,2.48,3.97,3.23,10.06,11.56
2020-02-29,Assam,5.62,9.21,4.28,2.89,14.03,13.62
2020-02-29,Bihar,6.57,7.76,0.98,2.71,9.86,2.08
2020-02-29,Chhattisgarh,3.21,2.17,0.65,0.83,7.05,5.71
2020-02-29,Goa,2.31,8.44,2.18,1.41,2.42,14.14
2020-02-29,Gujarat,3.57,1.31,4.84,4.55,6.61,13.21
2020-02-29,Haryana,1.04,4.67,3.91,4.43,4.97,12.93
2020-02-29,Himachal Pradesh,1.88,1.02,2.02,3.0,3.98,14.29
2020-02-29,Jharkhand,9.92,2.55,2.42,4.93,9.28,6.91
2020-02-29,Karnataka,5.71,1.58,4.92,4.16,3.65,4.11
2020-02-29,Kerala,3.55,1.63,4.58,3.58,2.02,7.2
2020-02-29,Madhya Pradesh,1.84,4.56,2.81,1.71,13.22,11.38
2020-02-29,Maharashtra,9.07,1.06,2.28,3.71,7.47,4.46
2020-02-29,Manipur,8.29,2.15,0.98,4.97,14.63,14.57
2020-02-29,Meghalaya,9.43,7.24,3.27,3.24,11.67,7.75
2020-02-29,Mizoram,1.85,3.23,4.22,2.29,4.98,8.17
2020-02-29,Nagaland,3.38,6.69,1.41,2.82,9.7,14.4
2020-02-29,Odisha,6.15,6.99,0.65,3.45,12.46,13.79
2020-02-29,Punjab,8.03,3.38,2.37,0.94,9.18,3.18
2020-02-29,Rajasthan,3.09,3.85,0.5,1.45,5.24,5.99
2020-02-29,Sikkim,5.86,7.4,3.57,3.53,10.17,2.71
2020-02-29,Tamil Nadu,4.85,6.4,4.86,2.59,2.01,4.19
2020-02-29,Telangana,5.93,6.81,2.03,1.8,5.74,4.07
2020-02-29,Tripura,7.26,5.06,4.34,2.36,13.06,9.8
2020-02-29,Uttar Pradesh,9.57,9.29,1.68,4.72,2.62,6.43
2020-02-29,Uttarakhand,3.65,6.9,2.05,3.21,14.87,12.27
2020-02-29,West Bengal,4.54,5.84,2.66,4.81,4.44,8.31
2020-03-31,Andhra Pradesh,3.26,3.28,3.1,2.15,6.49,8.21
2020-03-31,Arunachal Pradesh,7.11,1.54,0.55,4.04,11.82,4.94
2020-03-31,Assam,6.84,4.03,1.77,3.87,11.73,8.95
2020-03-31,Bihar,9.06,9.66,3.77,1.95,14.39,3.45
2020-03-31,Chhattisgarh,2.82,2.76,4.78,2.03,14.76,11.6
2020-03-31,Goa,6.4,7.51,4.25,4.04,7.59,3.44
2020-03-31,Gujarat,7.48,3.51,2.03,1.29,5.01,12.53
2020-03-31,Haryana,8.79,6.53,1.08,2.75,12.91,4.29
2020-03-31,Himachal Pradesh,2.89,8.97,3.4,4.83,7.28,10.1
2020-03-31,Jharkhand,3.01,3.87,3.69,0.68,11.39,8.36
2020-03-31,Karnataka,9.01,9.34,2.99,1.84,9.26,4.96
2020-03-31,Kerala,9.98,8.94,4.95,1.56,5.19,4.12
2020-03-31,Madhya Pradesh,6.24,3.9,0.76,3.9,9.87,14.87
2020-03-31,Maharashtra,6.77,4.89,4.15,4.47,14.37,12.07
2020-03-31,Manipur,4.63,5.29,3.77,4.32,6.24,11.5
2020-03-31,Meghalaya,8.16,7.79,0.73,3.25,4.86,5.52
2020-03-31,Mizoram,8.22,8.66,3.49,2.87,9.98,10.06
2020-03-31,Nagaland,4.62,6.73,0.5,3.38,14.06,10.69
2020-03-31,Odisha,3.08,6.48,4.85,1.62,9.18,7.76
2020-03-31,Punjab,4.73,1.16,4.53,1.18,4.51,11.06
2020-03-31,Rajasthan,7.56,7.43,4.12,0.87,10.48,2.14
2020-03-31,Sikkim,6.79,5.45,2.32,0.78,13.23,9.16
